videoId,playlist_id,brand,title,viewCount,likeCount,commentCount,publishedAt,duration_seconds
MwEk6Cidan8,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,BMW,Nouvelle BMW Série 8 Gran Coupé : le clip officiel,1083,10,1,2024-08-08 22:25:03+00:00,62
DXcfS05M2tI,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,BMW,Nouvelle BMW Série 8 Coupé : le clip officiel,1013,9,0,2024-08-08 21:40:44+00:00,56
ElJWOJdvw70,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,AUDI,Nouvelle AUDI A5 2025 - le spot officiel,4884,17,2,2024-08-01 21:00:14+00:00,61
OzCTl33Sgcg,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,AUDI,Nouvelle AUDI A6 e-tron 2025 - le spot officiel,6210,12,2,2024-08-01 20:45:00+00:00,107
6gW-sgtprdk,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,PEUGEOT,PEUGEOT Rifter 2024 : lancement au Maroc,17959,130,10,2024-07-28 21:30:06+00:00,191
KGNlGLhbDXw,PLlvsaB0FDEJEJQRAErI6gWgLDr-3myio1,AUTRE / MULTI-MARQUES,AUTO HEBDO - EP77 - 27 juillet 2024,1794,76,0,2024-07-26 22:15:06+00:00,323
F1HwH05ATsw,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,ŠKODA,ŠKODA Kamiq facelift 2024,12929,17,2,2024-07-25 22:38:55+00:00,90
ndCFzaMCY5s,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,ŠKODA,ŠKODA Octavia Black Édition 2024 Maroc,5628,17,3,2024-07-25 21:15:04+00:00,61
htYVYe8dNSg,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,BMW,BMW Série 1 2025 - le spot officiel,6592,19,2,2024-07-21 23:00:30+00:00,31
F-VQFW64buM,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,HYUNDAI,HYUNDAI IONIQ 6 - Voiture mondiale de l'année 2023,2120,5,1,2024-07-21 13:00:17+00:00,31
a7AyHaIr-Rg,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,PEUGEOT,Nouvelle PEUGEOT e-208 arrive au Maroc,7475,142,9,2024-07-18 22:59:14+00:00,204
BViCS2hcVVM,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,AUDI,Nouvelle AUDI A5 2025 - les premières infos,19438,185,5,2024-07-18 21:15:07+00:00,243
NxfI4kFFSj0,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,FIAT,125ème anniversaire de FIAT,2682,111,0,2024-07-17 23:00:18+00:00,288
XSVNNtOd6-I,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,KIA,Nouveau KIA Seltos facelift 2024,8561,15,2,2024-07-16 12:47:57+00:00,81
UQLumeMcjRA,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,KIA,Nouveau KIA Sonet facelift 2024,10033,13,0,2024-07-16 12:44:09+00:00,61
9XFIa7JRKa8,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,MG,Nouveau MG HS 2025,17432,31,4,2024-07-16 12:38:30+00:00,83
kxfWsWH22nw,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,MG,Teaser du nouveau MG HS 2025,1831,8,1,2024-07-15 11:49:28+00:00,26
oWxuN27_Mww,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,RENAULT,Essai RENAULT Mégane E-Tech 2024 Maroc - تجربة قيادة المغرب,10342,152,11,2024-07-11 20:45:06+00:00,385
Tqk0pNb0WTo,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,FIAT,FIAT Grande Panda 2025 - le clip officiel,21336,127,7,2024-07-11 19:15:00+00:00,98
Ta6FevR6vKs,PLlvsaB0FDEJEJQRAErI6gWgLDr-3myio1,AUTRE / MULTI-MARQUES,AUTO HEBDO - EP76 - 5 juillet 2024,1886,59,6,2024-07-05 22:45:06+00:00,304
sefWEHLhuLs,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,VW,Essai VW Tiguan 2024 Maroc - تجربة قيادة المغرب,41645,266,22,2024-07-04 21:45:07+00:00,386
VLZ6nr9fmSw,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,CITROËN,CITROËN C3 AirCross 2025 - les premières infos,36308,164,5,2024-07-01 21:45:07+00:00,203
F8LiEUljcpQ,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,PEUGEOT,Essai de la PEUGEOT 208 2024 Maroc - تجربة قيادة المغرب,31989,232,14,2024-06-30 22:00:07+00:00,353
sQ2Rnlrc2kA,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,MINI,Nouvelle MINI 5 portes 2025 - le spot TV,2774,6,0,2024-06-29 23:00:22+00:00,26
F0MGrXLVomA,OFF_PLAYLIST,MINI,MINI interface multimédia digitale - MINI OS9,463,3,0,2024-06-29 23:00:09+00:00,190
2IHXepRJVYY,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,CHERY,CHERY Tiggo 7 Plus  - le clip officiel,515,10,0,2024-06-29 23:00:01+00:00,91
njCQsBT5W0M,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,CITROËN,Essai de la nouvelle CITROËN C3 2024,29898,217,10,2024-06-26 22:45:07+00:00,502
HKmc_5gY2Nc,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,GEELY,Essai du GEELY Coolray 2024 Maroc - تجربة قيادة المغرب,14548,368,3,2024-06-23 22:00:08+00:00,37
SveyXbz0hdE,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,BMW,BMW X3 2025 : les premières infos,20216,55,4,2024-06-22 22:15:06+00:00,195
_m4mHPtqi_M,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,BMW,BMW Série 1 2025 : les premières infos,20163,64,18,2024-06-21 23:00:07+00:00,166
o4Z8vFdcFUs,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,BYD,BYD Seal U PHEV : lancement au Maroc,160237,429,91,2024-06-20 21:45:07+00:00,254
